Community_ID,Size,Total_Appearances,Avg_Appearances,Top_Actor,Top_Actor_Appearances
0,32,676,21.125,Anupam Kher,43
1,10,193,19.3,Vincent Tong,26
2,4,78,19.5,John Cleese,24
3,6,146,24.333333333333332,Julie Tejwani,33
4,1,20,20.0,David Attenborough,20
5,18,315,17.5,Samuel L. Jackson,24
6,15,290,19.333333333333332,Takahiro Sakurai,32
7,1,17,17.0,Michela Luci,17
8,3,46,15.333333333333334,Blossom Chukwujekwu,16
9,1,16,16.0,Kristen Stewart,16
10,1,16,16.0,Hassan Hosny,16
11,1,16,16.0,Robb Wells,16
12,7,125,17.857142857142858,Fred Tatasciore,23
