director,degree,degree_centrality,betweenness_centrality,closeness_centrality,pagerank,appearances
Alex Woo,1,0.1111111111111111,0.0,0.1111111111111111,0.1,5
Stanley Moore,1,0.1111111111111111,0.0,0.1111111111111111,0.1,5
Priyadarshan,1,0.1111111111111111,0.0,0.1111111111111111,0.1,7
Rathindran R Prasad,1,0.1111111111111111,0.0,0.1111111111111111,0.1,5
Anurag Kashyap,3,0.3333333333333333,0.0,0.3333333333333333,0.1,9
Dibakar Banerjee,3,0.3333333333333333,0.0,0.3333333333333333,0.1,7
Karan Johar,3,0.3333333333333333,0.0,0.3333333333333333,0.1,6
Zoya Akhtar,3,0.3333333333333333,0.0,0.3333333333333333,0.1,6
Jan Suter,1,0.1111111111111111,0.0,0.1111111111111111,0.1,21
Raúl Campos,1,0.1111111111111111,0.0,0.1111111111111111,0.1,19
