Director,Group,Movies_Count
Rajiv Chilaka,India,22
Jan Suter,Internacional,21
Raúl Campos,Internacional,19
Suhas Kadav,India,16
Marcus Raboy,United States,16
Jay Karas,United States,15
Cathy Garcia-Molina,Philippines,13
Youssef Chahine,Internacional,12
Martin Scorsese,Internacional,12
Jay Chapman,United States,12
Steven Spielberg,Internacional,11
Don Michael Paul,Internacional,10
David Dhawan,India,9
Yılmaz Erdoğan,Turkey,9
Anurag Kashyap,Internacional,9
Shannon Hartman,United States,9
Quentin Tarantino,Internacional,8
Robert Rodriguez,Internacional,8
Hakan Algül,Turkey,8
Hanung Bramantyo,Internacional,8
Fernando Ayllón,Internacional,8
Troy Miller,United States,8
Justin G. Dyck,Internacional,8
Kunle Afolayan,Nigeria,8
Ryan Polito,United States,8
Lance Bangs,United States,8
Johnnie To,Internacional,8
Umesh Mehra,Internacional,8
Toshiya Shinohara,Japan,7
Prakash Satam,S/P,7
Lasse Hallström,Internacional,7
Dibakar Banerjee,India,7
Priyadarshan,Internacional,7
Clint Eastwood,Internacional,7
Ram Gopal Varma,India,7
McG,Internacional,7
Hidenori Inoue,Japan,7
Mae Czarina Cruz,Philippines,7
Ozan Açıktan,Turkey,7
Ron Howard,Internacional,7
Leslie Small,United States,7
Omoni Oboli,Internacional,7
Noah Baumbach,Internacional,7
S.S. Rajamouli,India,7
Robert Luketic,Internacional,6
Milan Luthria,India,6
Steve Brill,United States,6
David Fincher,Internacional,6
Michael Simon,United States,6
Steve Ball,Internacional,6
Kevin Smith,Internacional,6
Ashutosh Gowariker,Internacional,6
Manny Rodriguez,United States,6
Rajkumar Santoshi,India,6
Imtiaz Ali,India,6
Anees Bazmee,India,6
Jesse V. Johnson,Internacional,6
Karan Johar,India,6
Zoya Akhtar,India,6
Sooraj R. Barjatya,India,6
Sameh Abdulaziz,Egypt,6
Joey So,S/P,6
Steven Soderbergh,Internacional,6
Vlad Yudin,United States,6
Rocky Soraya,Indonesia,6
Wenn V. Deramas,Philippines,6
Matt Askem,Internacional,6
Robert Vince,Internacional,6
William Lau,United States,6
Wong Jing,Internacional,6
Riri Riza,Indonesia,6
Tilak Shetty,India,6
Alex Woo,United States,5
Stanley Moore,United States,5
Abhishek Chaubey,India,5
Masahiko Murata,Japan,5
Nagesh Kukunoor,India,5
Spike Lee,United States,5
Martin Campbell,Internacional,5
Anurag Basu,India,5
Rathindran R Prasad,India,5
Mani Ratnam,India,5
Vince Marcello,Internacional,5
Rohit Shetty,India,5
Paul Thomas Anderson,Internacional,5
Jay Roach,United States,5
Lynn Shelton,United States,5
John G. Avildsen,United States,5
Antoinette Jadaone,Philippines,5
Joe Berlinger,United States,5
Andy Tennant,Internacional,5
Kıvanç Baruönü,Turkey,5
Angga Dwimas Sasongko,Indonesia,5
Oliver Stone,Internacional,5
Ava DuVernay,United States,5
Prakash Jha,India,5
Detlev Buck,Germany,5
Indra Kumar,India,5
Shigeaki Kubo,Japan,5
Mahesh Manjrekar,India,5
